"DRACO","INVALID_MARKET"
"ETC","2016-07-28T21:45:59.05"
"UNIQ","INVALID_MARKET"
"STRAT","2017-08-04T18:01:27.713"
"UNB","INVALID_MARKET"
"SYNX","INVALID_MARKET"
"TRIG","INVALID_MARKET"
"EBST","INVALID_MARKET"
"VRM","INVALID_MARKET"
"XAUR","INVALID_MARKET"
"SEQ","INVALID_MARKET"
"SNGLS","INVALID_MARKET"
"REP","2017-04-20T06:43:49.19"
"SHIFT","INVALID_MARKET"
"ARDR","INVALID_MARKET"
"XZC","INVALID_MARKET"
"NEO","2017-07-21T01:08:49.397"
"ZEC","2017-07-14T17:10:07.8"
"ZCL","INVALID_MARKET"
"IOP","INVALID_MARKET"
"DAR","INVALID_MARKET"
"GOLOS","INVALID_MARKET"
"GBG","INVALID_MARKET"
"UBQ","INVALID_MARKET"
"HKG","INVALID_MARKET"
"KMD","INVALID_MARKET"
"SIB","INVALID_MARKET"
"ION","INVALID_MARKET"
"LMC","INVALID_MARKET"
"QWARK","INVALID_MARKET"
"CRW","INVALID_MARKET"
"SWT","INVALID_MARKET"
"TIME","INVALID_MARKET"
"MLN","INVALID_MARKET"
"TKS","INVALID_MARKET"
"ARK","INVALID_MARKET"
"DYN","INVALID_MARKET"
"MUSIC","INVALID_MARKET"
"DTB","INVALID_MARKET"
"INCNT","INVALID_MARKET"
"GBYTE","INVALID_MARKET"
"GNT","2017-04-20T06:38:51.877"
"NXC","INVALID_MARKET"
"EDG","INVALID_MARKET"
"LGD","2017-06-17T15:02:02.783"
"TRST","2017-05-19T15:55:11.28"
"WINGS","2017-04-26T22:16:06.627"
"RLC","2017-04-30T18:41:22.823"
"GNO","2017-04-30T18:42:52.17"
"GUP","2017-04-30T18:40:42.213"
"LUN","2017-04-30T18:41:22.84"
"APX","INVALID_MARKET"
"TKN","INVALID_MARKET"
"HMQ","2017-05-10T07:27:27.597"
"ANT","2017-05-19T15:55:11.293"
"ZEN","INVALID_MARKET"
"SC","2017-07-14T17:10:07.74"
"BAT","2017-06-03T22:04:52.38"
"1ST","2017-06-11T17:33:06.127"
"QRL","2017-06-11T17:33:06.14"
"CRB","2017-06-13T19:40:35.217"
"PTOY","2017-06-18T17:04:24.147"
"MYST","INVALID_MARKET"
"CFI","2017-06-19T19:59:14.89"
"BNT","2017-06-22T21:36:30.867"
"NMR","2017-06-22T21:58:57.657"
"SNT","2017-06-28T18:26:15.747"
"DCT","INVALID_MARKET"
"XEL","INVALID_MARKET"
"MCO","2017-07-02T00:37:17.05"
"ADT","2017-07-03T21:08:06.22"
"FUN","INVALID_MARKET"
"PAY","2017-07-07T07:14:00.873"
"MTL","INVALID_MARKET"
"STORJ","2017-07-11T21:14:32.643"
"ADX","2017-07-11T22:42:17.78"
"OMG","2017-07-16T17:07:42.41"
"CVC","2017-07-16T23:04:18.99"
"PART","INVALID_MARKET"
"QTUM","2017-07-20T19:08:43.473"
"BCC","2017-08-01T18:34:04.763"
"DNT","2017-08-04T02:09:02.887"
"ADA","2017-11-28T17:28:32.077"
"MANA","2017-10-13T23:32:03.027"
"SALT","2017-10-16T17:32:48.84"
"TIX","2017-10-25T21:01:08.287"
"RCN","2017-11-07T07:59:10.93"
"VIB","2017-11-08T17:08:43.01"
"MER","INVALID_MARKET"
"POWR","2017-11-14T00:31:01.76"
"BTG","2017-11-20T21:49:16"
"ENG","2017-11-29T23:57:48.26"
"UKG","2017-12-29T22:41:56.017"
"IGNIS","INVALID_MARKET"
"SRN","2018-02-13T20:13:01.63"
"WAX","2018-02-15T01:09:15.167"
"ZRX","2018-02-15T23:33:55.923"
"VEE","2018-02-16T18:36:35.443"
"BCPT","2018-02-22T18:39:23.173"
"TRX","2018-03-01T23:17:06.517"
"TUSD","INVALID_MARKET"
